"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"chr13-44876648-44877367",1.60465603845486e-51,7.95674415010301,0.48,0.002,1.99917677206938e-46
"chr18-13135995-13138672",4.01656699183742e-51,2.17693228371955,0.684,0.25,5.00408015245057e-46
"chr17-41870447-41871061",6.06094524717328e-51,4.85792775763304,0.304,0.021,7.5510892456433e-46
"chr3-4866855-4869338",6.30704821877657e-51,1.50098527002498,0.78,0.39,7.85769909384498e-46
"chr12-97462656-97463412",6.96973837249912e-51,5.39308854524643,0.328,0.01,8.68331824876176e-46
"chr5-96431201-96434639",9.11470321544771e-51,1.71668896239842,0.796,0.412,1.13556441479977e-45
"chr4-76687880-76691380",1.62288132858989e-50,2.08166977437573,0.676,0.283,2.021882932037e-45
"chr13-46143113-46143625",1.89063804663349e-50,5.29575081692893,0.344,0.01,2.3554703167788e-45
"chr12-102062985-102063540",3.11594137175389e-50,6.73945114144484,0.388,0.004,3.8820267174133e-45
"chr7-82506662-82508666",3.30525189543384e-50,1.86659561242118,0.728,0.324,4.11788112644521e-45
"chr14-20686064-20686758",4.50255050245627e-50,4.35271856296957,0.344,0.026,5.60954756899017e-45
"chr5-11903338-11904760",5.64187629528897e-50,3.4482362973036,0.516,0.075,7.02898800124871e-45
"chr20-21520793-21523792",7.10834683634861e-50,1.33327044190595,0.784,0.403,8.85600498953328e-45
"chr5-23951261-23952400",7.45675753994959e-50,7.53037321731129,0.44,0.003,9.29007594872159e-45
"chr20-47353662-47359598",7.62541655067789e-50,1.46565590648804,0.852,0.535,9.50020146382755e-45
"chr5-142684628-142686777",1.8728584276053e-49,3.19517938269109,0.536,0.09,2.33331940061634e-44
"chr1-237470798-237471325",2.87303765273226e-49,6.22640866027093,0.34,0.006,3.57940269003301e-44
"chr18-50404839-50406022",4.92730733470738e-49,4.07599281462727,0.336,0.03,6.13873511601853e-44
"chr10-2985469-2987022",9.4995410085837e-49,3.27222692286193,0.508,0.076,1.18350981609541e-43
"chr17-61568550-61569160",1.46817752740864e-48,6.16260140395905,0.348,0.005,1.82914365429733e-43
"chr18-23998728-24001990",1.55737217740221e-48,3.91259462109789,0.388,0.048,1.94026770093832e-43
"chr5-14721947-14722548",1.80796360623851e-48,3.75451235065301,0.408,0.04,2.25246953846831e-43
"chr18-79252238-79253314",2.18519249641876e-48,7.14333783348573,0.396,0.004,2.72244392358828e-43
"chr13-74131183-74136848",2.46134528615861e-48,1.21358393323385,0.908,0.651,3.06649163821356e-43
"chr9-90920992-90921583",5.80263632280506e-48,4.59449484451201,0.34,0.018,7.22927248912991e-43
"chr7-95324246-95324926",1.24674516699234e-47,3.59591029551704,0.38,0.043,1.55326993374907e-42
"chr20-29444958-29445952",1.48542979175567e-47,3.18409242829294,0.544,0.093,1.85063756035672e-42
"chr1-6962194-6964152",1.82153335978503e-47,2.75992456038533,0.704,0.156,2.26937555162178e-42
"chr3-24493893-24496094",2.82878762841834e-47,2.57400566819067,0.772,0.209,3.52427335474128e-42
"chr5-93578310-93585576",2.8781947269049e-47,1.69678260805572,0.884,0.545,3.58582768246174e-42
"chr7-151119555-151127142",6.57001706407315e-47,-3.3425753059406,0.148,0.575,8.18532145944617e-42
"chr3-25663249-25666081",8.34065933523498e-47,1.25945944017252,0.824,0.533,1.03912938393959e-41
"chr8-27610150-27615236",8.64082666331757e-47,-2.42788843084277,0.296,0.682,1.07652603067608e-41
"chr3-9914972-9917686",8.65920954272769e-47,1.63649803885124,0.768,0.402,1.07881628009027e-41
"chr13-38090871-38091342",8.67225417341316e-47,6.46512955157949,0.34,0.004,1.08044145844885e-41
"chr8-6877252-6878282",2.96969947210707e-46,6.53814302800886,0.36,0.003,3.69982978431931e-41
"chr10-3484197-3486783",3.0026312939703e-46,7.04106685767099,0.372,0.003,3.74085822390583e-41
"chr5-7077142-7079358",3.80948815041136e-46,1.60306416674877,0.74,0.352,4.7460889070715e-41
"chr9-130946818-130948338",4.59368771835444e-46,7.09310838972708,0.356,0.004,5.72309178078906e-41
"chr7-97016389-97017044",4.92726844357951e-46,6.36705646314182,0.324,0.008,6.13868666311797e-41
"chr6-160137038-160138615",6.10413373836383e-46,3.86252020923718,0.388,0.036,7.60489605927796e-41
"chr12-53984760-53985427",9.49866166931794e-46,5.78759298007684,0.3,0.007,1.18340026273365e-40
"chr3-69999411-70000087",1.46041966901553e-45,7.0113225809145,0.364,0.004,1.81947844883969e-40
"chr3-4492048-4496428",1.46085672381633e-45,1.267255243325,0.844,0.535,1.82002295793381e-40
"chr13-101623913-101625385",1.83239243159226e-45,7.49832073385157,0.424,0.004,2.28290443482353e-40
"chr13-55053831-55054776",3.88218834928048e-45,7.14910176929993,0.404,0.004,4.83666317683458e-40
"chr5-54142313-54142811",6.31380287893157e-45,3.59475306522048,0.408,0.042,7.86611445474568e-40
"chr3-16883940-16886800",7.39307084219129e-45,1.90094797428924,0.66,0.271,9.21073123945244e-40
"chr8-52392574-52393013",1.05340189380963e-44,3.98465020773335,0.312,0.029,1.31239128342167e-39
"chr13-79392804-79394482",1.08668509905803e-44,4.22589596425743,0.336,0.027,1.35385749751243e-39
"chr22-33271175-33273370",1.72777682383888e-44,6.57936078319208,0.328,0.002,2.15256803374791e-39
"chr12-131025937-131029253",2.03768125707415e-44,1.69955924603476,0.748,0.295,2.5386655709384e-39
"chr20-20457448-20458150",2.61514639026859e-44,6.19444967609843,0.312,0.005,3.25810628178002e-39
"chr18-59054869-59055406",3.25082374990404e-44,5.41222771914727,0.292,0.009,4.05007127705545e-39
"chr13-96966454-96967616",3.26654999714835e-44,7.94607266845598,0.428,0.003,4.06966397944725e-39
"chr3-14946888-14948998",3.53823485734535e-44,1.03651122858593,0.856,0.62,4.40814527937228e-39
"chr19-1081542-1083242",4.91355013576923e-44,-3.11346228403651,0.12,0.578,6.12159557214945e-39
"chr3-8505472-8506096",5.65394629887152e-44,3.16708467184734,0.436,0.076,7.04402553591207e-39
"chrX-107448846-107452126",5.66428450064636e-44,6.09188776088649,0.288,0.005,7.05690548797527e-39
"chr7-150968914-150969911",6.66872904882676e-44,4.62747420642572,0.304,0.015,8.30830277277131e-39
"chr3-18443010-18446464",7.03384237204751e-44,1.95063055159532,0.7,0.286,8.76318285763911e-39
"chr5-114360831-114364091",8.94958081735674e-44,2.60943081195083,0.796,0.232,1.11499247571121e-38
"chrX-139204879-139205522",9.07971354010976e-44,5.24478756137727,0.272,0.014,1.13120519110811e-38
"chr13-32984834-32985421",9.75949329174914e-44,5.80638791753963,0.308,0.004,1.21589623124586e-38
"chr13-95641328-95642358",1.4617073355821e-43,3.57396689776629,0.416,0.049,1.82108270110831e-38
"chr3-12963553-12965446",1.47965927613847e-43,2.34990439842986,0.54,0.166,1.84344830576988e-38
"chr3-18369594-18371029",1.83316390680408e-43,2.81675876616044,0.484,0.109,2.28386558493093e-38
"chr20-14470494-14471330",2.80657387772559e-43,3.48394812908986,0.348,0.046,3.49659813130321e-38
"chr3-12004036-12004582",3.15987665766811e-43,3.46425812877868,0.424,0.051,3.93676393272239e-38
"chr4-40192602-40202843",3.57328814509625e-43,4.12374613457675,0.344,0.037,4.45181676844962e-38
"chr17-40903199-40903941",3.59312932023752e-43,7.1308028869516,0.356,0.004,4.47653609491112e-38
"chr18-7022238-7023328",6.50544002764909e-43,3.52230615823702,0.396,0.048,8.10486751284689e-38
"chr18-3447426-3453033",6.87522988857918e-43,2.14441454795127,0.848,0.358,8.56557390898526e-38
"chr4-154559347-154560309",9.38074789512345e-43,3.6839527528175,0.36,0.042,1.16870985726185e-37
"chr19-17841364-17842748",1.39374781374152e-42,1.96752941112363,0.724,0.277,1.73641465122801e-37
"chr12-121238257-121241533",1.65599172526367e-42,3.05015409258898,0.46,0.089,2.063133850837e-37
"chr3-4355434-4355833",2.00857741461773e-42,4.64965269523751,0.272,0.018,2.50240625777564e-37
"chr3-164401557-164402302",2.170116672101e-42,7.00249306542824,0.364,0.002,2.70366155710375e-37
"chr10-44965496-44979990",3.78031703894746e-42,-2.13108942648322,0.524,0.742,4.70974578614308e-37
"chr10-43395644-43397748",3.86377304053885e-42,-3.24469298522354,0.096,0.571,4.81372028028574e-37
"chr18-79397778-79407138",4.39863409697307e-42,3.73150180290204,0.496,0.062,5.48008227605486e-37
"chr7-21944540-21946495",5.78942654472485e-42,4.43626700265832,0.336,0.019,7.2128149550109e-37
"chr17-48603822-48605174",6.98753279915046e-42,4.7389652098811,0.312,0.011,8.70548761314959e-37
"chr4-83112094-83113798",9.37721365273325e-42,7.73998247763232,0.388,0.003,1.16826954013942e-36
"chr5-14008838-14009408",1.00623100074248e-41,5.67151149247387,0.276,0.007,1.25362295458502e-36
"chr2-23491490-23492107",1.14452653969744e-41,5.63776511850221,0.28,0.006,1.42591983474745e-36
"chr13-36431576-36433187",1.32017227134561e-41,2.93353888703931,0.572,0.125,1.64474982597864e-36
"chr20-29877941-29879459",1.9972865222229e-41,3.51272654469965,0.408,0.049,2.48833938657662e-36
"chr5-43037750-43043679",2.09712127449117e-41,1.47730284201689,0.768,0.399,2.61271951103756e-36
"chr18-34224474-34225360",2.24513019702595e-41,3.05364710195083,0.508,0.085,2.79711790726675e-36
"chr9-72997514-72998005",2.49586144628973e-41,3.84235009791457,0.3,0.029,3.10949394147452e-36
"chr7-25854144-25855413",2.58201121848104e-41,3.07579471476514,0.536,0.072,3.21682449665679e-36
"chr3-23035838-23036539",2.59818009537691e-41,2.77698596757029,0.488,0.112,3.23696865362627e-36
"chr3-15858751-15860938",2.87855154203956e-41,1.44654271003107,0.688,0.402,3.58627222416541e-36
"chr18-48926347-48930737",3.21523539007818e-41,1.40931482999747,0.796,0.48,4.0057331630828e-36
"chr5-77629474-77631359",3.54355635651961e-41,2.97601890841473,0.488,0.094,4.41477512233352e-36
"chr18-24659879-24660723",4.65618592796956e-41,4.19187709666046,0.3,0.028,5.80095580022016e-36
"chr4-153257018-153257617",5.68883567636965e-41,5.68298982241788,0.284,0.005,7.08749281576189e-36
"chr18-13472151-13473014",5.87598072269584e-41,7.26073283906964,0.364,0.003,7.32064934317784e-36
"chr6-116229217-116229821",5.98717156995381e-41,4.72775282854198,0.288,0.013,7.45917757214265e-36
"chr7-25313978-25315137",6.29208525912353e-41,2.75257006256841,0.44,0.093,7.83905734093164e-36
"chr5-136998716-136999306",6.33266138738476e-41,4.56204534096251,0.3,0.015,7.88960951608717e-36
"chr3-24521017-24522509",6.45062410421287e-41,2.99042737819303,0.496,0.107,8.03657454647465e-36
"chr12-12714052-12720014",8.09275921358682e-41,-2.38883108111133,0.16,0.634,1.00824449938393e-35
"chr7-95478182-95479154",8.42076070616878e-41,2.75891832765326,0.468,0.096,1.04910889333874e-35
"chr7-90708733-90710753",9.75565010575188e-41,3.4874244345851,0.364,0.048,1.2154174240752e-35
"chr14-88246983-88247733",1.02217127046296e-40,7.18308899208765,0.368,0.002,1.27348229901899e-35
"chr7-73528266-73528682",1.03870534812263e-40,4.0449768958027,0.28,0.026,1.29408144501206e-35
"chr17-57939530-57941129",1.07837742042115e-40,2.82723027623331,0.46,0.113,1.34350729300589e-35
"chr3-25781581-25784279",1.19627521933558e-40,1.58694856309293,0.764,0.357,1.49039144476142e-35
"chr6-34531659-34532301",1.27489477018953e-40,6.02549708888491,0.284,0.005,1.58834039838833e-35
"chr13-101415890-101417257",1.81701537863055e-40,2.79561318527407,0.436,0.093,2.26374677962065e-35
"chr7-95916576-95917355",1.83821753541148e-40,3.4910446875757,0.328,0.048,2.29016169866775e-35
"chr20-20548606-20549672",2.02790824892561e-40,2.923848351801,0.424,0.073,2.52648977100646e-35
"chr1-1429691-1438949",2.32283958164946e-40,-3.04233081008479,0.156,0.569,2.89393292119379e-35
"chr3-23944400-23946796",2.55483936879383e-40,1.00630183782959,0.856,0.635,3.18297217600548e-35
"chr17-52324662-52325251",3.99157174792534e-40,6.37814466349931,0.312,0.004,4.97293957787027e-35
"chr7-124762591-124763112",4.24313709133042e-40,7.17642603120439,0.356,0.002,5.28635477660491e-35
"chr10-122162653-122165738",4.97766258799366e-40,-5.25794262784244,0.052,0.558,6.20147071187778e-35
"chr3-23916353-23918166",7.53541129835732e-40,1.17126330044542,0.792,0.491,9.38806752017145e-35
"chr4-40190735-40191841",1.70021676342397e-39,6.37814466349931,0.292,0.005,2.11823205687939e-34
"chr19-38649638-38650532",1.72289514525615e-39,3.39655264164648,0.324,0.046,2.14648614566882e-34
"chr20-36470014-36471352",2.32558770547699e-39,3.98801752966315,0.264,0.028,2.89735669874557e-34
"chr4-152094560-152095698",2.60541768575027e-39,2.35559396153154,0.492,0.143,3.24598567796884e-34
"chr3-9395633-9399124",2.90567944818643e-39,0.857461421190359,0.928,0.809,3.62006979731755e-34
"chr12-113773458-113773989",2.95511201835247e-39,6.10034029440663,0.276,0.002,3.68165585918461e-34
"chr2-237502389-237502909",2.9983146342303e-39,4.26684883638136,0.276,0.023,3.73548027020217e-34
"chr12-94147405-94152809",3.00219991883403e-39,1.1510527957489,0.832,0.549,3.74032079087856e-34
"chr7-130912513-130914338",3.38025711222517e-39,3.26816217316672,0.416,0.061,4.21132712583685e-34
"chr9-95084261-95085170",3.62574421963829e-39,4.58874432177806,0.252,0.02,4.51716969347855e-34
"chr9-72362043-72366297",3.6389764797835e-39,0.84762045246006,0.932,0.778,4.53365523710307e-34
"chr13-60267409-60268222",3.81827968703182e-39,4.63047739959026,0.272,0.017,4.75704193088546e-34
"chr7-98619610-98620245",4.49567970251273e-39,5.51692683277453,0.252,0.011,5.60098751417251e-34
"chr18-75246113-75248402",4.60134602743602e-39,3.33559348208245,0.364,0.059,5.73263296174144e-34
"chrX-36957421-36958212",5.8721497746778e-39,6.29589903890274,0.28,0.004,7.31587651828008e-34
"chr4-164215050-164215664",5.95943806158242e-39,7.15625050080384,0.332,0.003,7.42462550340307e-34
"chr17-48624941-48626981",6.20341306149531e-39,3.77769382740415,0.416,0.042,7.72858419679454e-34
"chr19-45300554-45301063",6.54750912618435e-39,4.6686123478502,0.26,0.018,8.15727971994804e-34
"chr3-27482993-27485429",6.55059541623699e-39,1.03081859824369,0.848,0.584,8.16112480527302e-34
"chr4-154490869-154492396",7.04709362801879e-39,3.00985856510995,0.552,0.112,8.77969206740349e-34
"chr19-46403929-46405152",8.11478682506369e-39,3.03932648184361,0.416,0.054,1.01098883138738e-33
"chr7-96499298-96499837",8.92692703140086e-39,6.79348517905526,0.316,0.003,1.11217013113411e-33
"chr19-12513649-12514142",1.01068304374253e-38,7.09397369211244,0.332,0.004,1.25916957687707e-33
"chr18-34158811-34159858",1.19143762055024e-38,2.50482496717074,0.704,0.185,1.48436447393872e-33
"chr9-135085302-135090840",1.31194031841439e-38,-3.85867715171303,0.076,0.528,1.63449396509975e-33
"chr4-89248665-89250169",1.49829393942296e-38,2.53606984726576,0.512,0.117,1.86666448736949e-33
"chr8-144500305-144505168",1.82986226985556e-38,-2.76851428483983,0.16,0.576,2.27975220752225e-33
"chr7-1112361-1113676",1.98671737421184e-38,3.18518631073065,0.42,0.046,2.47517170783557e-33
"chr1-50967917-50970496",2.12145868869517e-38,-3.20552688942708,0.068,0.537,2.64304052189777e-33
"chr6-134630424-134631273",2.44164763982443e-38,6.28165135822062,0.288,0.004,3.04195112855166e-33
"chr7-8442498-8444627",2.53494869846035e-38,1.75549184854524,0.72,0.326,3.15819118546381e-33
"chr18-70375941-70377749",2.62958107156811e-38,1.76679396985106,0.708,0.331,3.27608987382384e-33
"chr4-186651382-186652048",2.78119151268578e-38,3.50161533157407,0.352,0.04,3.46497525799471e-33
"chr2-161242923-161245742",3.38381967251176e-38,5.19000375894394,0.264,0.007,4.2157655771955e-33
"chr13-36904114-36904601",3.59094643108532e-38,6.21102263034417,0.276,0.004,4.47381652063195e-33
"chr3-4976079-4980790",4.90062554014507e-38,1.09730644367463,0.848,0.638,6.10549333544514e-33
"chr12-103494876-103496595",5.78964181453701e-38,3.45331632672233,0.428,0.062,7.21308315105908e-33
"chr13-19957143-19961007",8.14918897093998e-38,0.849072375632068,0.896,0.784,1.01527485713353e-32
"chr7-131101881-131112890",8.75284526435017e-38,0.942930595791322,0.892,0.719,1.09048198010433e-32
"chr3-181726745-181727648",9.63309762986685e-38,6.26339204103751,0.292,0.004,1.20014910131459e-32
"chr1-207882725-207884237",1.07614742112539e-37,6.03455341705292,0.28,0.005,1.34072902608327e-32
"chr17-74429865-74432617",1.16781172456243e-37,-2.20579289940813,0.228,0.636,1.45492991516335e-32
"chr9-71765595-71770154",1.29566868539998e-37,1.22822943753221,0.8,0.55,1.61422178839242e-32
"chr19-50607922-50608478",1.3293067202424e-37,4.66241116752521,0.264,0.013,1.6561300704812e-32
"chr4-86837726-86838640",1.37875372896218e-37,2.29979048953124,0.5,0.138,1.71773412076483e-32
"chr1-57301263-57301755",1.45198126315181e-37,5.40230497847826,0.264,0.007,1.80896537651031e-32
"chr10-28676674-28680223",1.50818493067787e-37,1.03956959945888,0.78,0.526,1.87898727773433e-32
"chr17-51739185-51739771",1.77335581508851e-37,6.71376900271088,0.304,0.004,2.20935307578617e-32
"chr18-6413634-6415483",1.80155596637157e-37,2.72032467758084,0.648,0.153,2.24448651626368e-32
"chr12-53938293-53938833",2.09756481859799e-37,7.76516634258903,0.396,0.002,2.61327210489849e-32
"chr7-37438811-37439353",2.21377373256259e-37,3.0021281719225,0.356,0.07,2.75805214245043e-32
"chr7-45919924-45923611",2.44426572628494e-37,1.86613089960056,0.788,0.338,3.04521289774935e-32
"chr18-55664694-55665369",2.63364362978917e-37,7.77689444327786,0.388,0.003,3.28115125260914e-32
"chr20-14219831-14220536",2.66902932780099e-37,3.60629880339715,0.328,0.034,3.32523687833415e-32
"chr4-73606251-73607838",2.78599818942145e-37,3.66842054640022,0.304,0.039,3.47096370427261e-32
"chr12-85036166-85036621",2.86336347961908e-37,2.97488093645297,0.32,0.075,3.56735002471822e-32
"chr19-41997054-41999054",3.01811445095582e-37,2.77801499028975,0.452,0.112,3.76014806986782e-32
"chr8-133448116-133450814",3.17812373988025e-37,-2.98580655213656,0.164,0.536,3.95949724256721e-32
"chr4-186669047-186669806",3.2415710140044e-37,3.51156799632173,0.36,0.043,4.03854366350752e-32
"chr5-122165246-122166035",3.3062941312015e-37,3.21345457529426,0.384,0.06,4.1191796062987e-32
"chr5-124743180-124744971",3.90697591793297e-37,2.54984019005859,0.464,0.105,4.86754501711597e-32
"chr8-41648601-41654622",3.95797516985684e-37,-4.79022989289769,0.044,0.479,4.93108294511784e-32
"chr18-57748676-57749372",4.36397397751107e-37,3.17246906112782,0.316,0.051,5.43690061962194e-32
"chr7-10874953-10875459",5.77106058763465e-37,3.65582582947633,0.308,0.033,7.18993354371051e-32
"chr8-94638722-94643171",6.37822000260932e-37,-1.91780090647426,0.404,0.734,7.94636917245085e-32
